ENGA_NUMBER,Smiles
ENGA0005,C[C@@H](C[C@@H]([C@H](CC1)[C@](C)(C[C@@H]2O)[C@]1(C(CO)=O)O)[C@H]2[C@@]1(C)C=C2)C1=CC2=O
ENGA0019,COC(C(CC(c1ccccc1)=O)=O)=O
ENGA0052,COc(cc(cc1)NC(Cc(cccc2)c2Cl)=O)c1-c1c[nH]nc1
ENGA0053,COc(cc(cc1)NC(Cc2c(C(F)(F)F)cccc2)=O)c1-c1cnco1
ENGA0065,O=C(c1csc(Nc2ncncc2)n1)NCc1ccccc1
ENGA0073,CC(C)Oc(cc1)ccc1-c1cn2ncc(-c3ccnc4ccccc34)c2nc1
ENGA0135,CC(C)C[C@@H](C(NC)=O)NC(OCc1ccccc1)=O
ENGA0136,CCCCNC([C@H]([C@@H](C)CC)NC(OCc1ccccc1)=O)=O
ENGA0144,Fc(cc1)ccc1-n1c(cc(cc2)-c3ccnn3-c3ccccc3)c2nc1
ENGA0145,Clc(cc1)ccc1-n1c(cc(cc2)-c3ccnn3-c3ccccc3)c2nc1
ENGA0146,COc1cccc(CC(Nc(cc2)cc(Cl)c2-c2cnco2)=O)c1
ENGA0147,O=C(Cc1c(C(F)(F)F)cccc1)Nc(cc1)cc(Cl)c1-c1cnco1
ENGA0148,O=C(Cc1cccc(Br)c1)Nc(cc1)cc(Cl)c1-c1cnco1
ENGA0149,O=C(Cc(ccc(F)c1)c1F)Nc(cc1)cc(Cl)c1-c1cnco1
ENGA0153,CS(c(cc1)ccc1-c1c2n(CCNC3=O)c3cc2cc(Cl)c1)(=O)=O
ENGA0155,CCC(C)C(C(NC(C)COC)=O)NC(OCc1ccccc1)=O
ENGA0159,CCC[C@@H](C(N[C@@H](CC(C)C)C(N)=O)=O)NC(OCc1ccccc1)=O
